Date,D_J_USU_L1_EXTI5_BIN,D_J_USU_L4_EXTI21_BIN,HWL_USU_L4_EXTI11_BIN,HWU_USU_L1_EXTI37_BIN,K_J_USU_L5_BIN,LDECAY_5_L3_EXTI8_STF_BIN,PVOh_12_26_9_L1_EXTI21_BIN,PVOh_12_26_9_L5_EXTI26_BIN,SMIo_5_20_5_L2_EXTI22_BIN,WCP_USU_L1_EXTI5_BIN,D_J_USU_L1_EXTI5,D_J_USU_L4_EXTI21,HWL_USU_L4_EXTI11,HWU_USU_L1_EXTI37,K_J_USU_L5,LDECAY_5_L3_EXTI8_STF,PVOh_12_26_9_L1_EXTI21,PVOh_12_26_9_L5_EXTI26,SMIo_5_20_5_L2_EXTI22,WCP_USU_L1_EXTI5,target,Close,Open,High,Low,Volume
2024-09-10,2,1,2,1,2,2,1,1,2,1,11.656340192446555,-54.16121797079926,51.83521882365552,-88.24651785688128,2.552015221114992,-3.699951171875,-19.78801397908675,-17.67103138168017,0.008838461653042973,-81.724609375,0,30.899999618530273,30.309999465942383,30.989999771118164,29.950000762939453,992715
2024-09-09,3,1,2,1,2,1,1,1,3,1,15.449946917361718,-63.30931914917695,36.19364403927103,-113.03463302113875,0.03588706544295661,-34.800048828125,-19.687521410594094,-14.070759785572616,0.020296483968219425,-167.6513671875,1,30.239999771118164,30.200000762939453,30.950000762939453,29.81999969482422,568909
2024-09-06,3,1,2,1,3,1,1,1,3,1,16.3875025675118,-65.83525185643816,54.04081245619845,-79.97181118015014,18.503620352023816,-34.800048828125,-19.077993573595602,-8.853884959679396,0.038303907987515165,-106.0322265625,1,29.90999984741211,30.170000076293945,30.329999923706055,29.610000610351562,1041966
2024-09-05,3,1,2,1,3,2,1,2,3,2,17.051547757593,-57.0020025719488,26.186462341118357,-108.94469066608697,30.245225070840398,-0.1999999999998181,-17.784776901367263,-1.536341557513909,0.046371212400908884,-18.982421875,1,30.010000228881836,30.139999389648438,30.469999313354492,29.899999618530273,1355495
2024-09-04,3,1,1,1,3,3,1,3,3,1,23.479542547311237,-25.670288083650487,-2.9381495538264484,-128.72154497004598,19.16554408331759,12.60009765625,-15.70246869473338,6.318329537807541,0.04532877868388163,-197.84375,1,29.920000076293945,30.540000915527344,30.59000015258789,29.790000915527344,2165445
2024-09-03,3,2,1,1,3,2,1,3,3,2,14.62962777355062,1.1580250975771555,-25.093482913001548,-118.12921952814102,23.83001278279192,0.5000488281248181,-12.608802100107555,13.457415717254687,0.04472834775650758,39.51171875,0,30.329999923706055,30.649999618530273,30.649999618530273,30.1299991607666,1622655
2024-09-02,3,2,1,1,3,1,1,3,3,2,15.737855192633003,7.065556814278398,-65.94164685630999,-100.30967668469253,17.66944448686688,-17.400146484375,-8.187275820927002,14.007999272960916,0.06731560581982349,-4.90234375,0,30.610000610351562,30.350000381469727,30.959999084472656,29.90999984741211,259705
2024-08-30,3,3,1,2,2,2,2,3,1,3,26.094783680062754,23.02951977038807,-49.29005999834369,-59.25959452013877,3.1031744954925244,-0.1999999999998181,-2.019886151614799,7.230993138056562,-0.07128361154402357,124.6904296875,0,30.299999237060547,29.979999542236328,30.389999389648438,29.799999237060547,2403647
2024-08-29,3,3,1,2,2,2,2,2,1,1,60.54547683839401,18.951926044255213,-31.52941853481336,-67.52194269948718,2.1146434315061953,0.400146484375,0.20236745635361642,2.175425877389899,-0.062024347431425764,-120.3369140625,1,30.049999237060547,30.31999969482422,30.530000686645508,29.959999084472656,1385824
2024-08-28,3,2,1,3,2,3,2,2,1,1,68.04501743742942,-0.5178979335836296,-62.901278419415746,-26.858925380152318,0.34280121624460946,48.09990234374982,-0.6477974399859656,-3.076249194993738,-0.05250920513080992,-228.03125,0,30.440000534057617,30.6200008392334,30.649999618530273,29.93000030517578,1417750
