Date,D_J_USU_L1_EXTI5_BIN_1,D_J_USU_L1_EXTI5_BIN_2,D_J_USU_L1_EXTI5_BIN_3,D_J_USU_L4_EXTI21_BIN_1,D_J_USU_L4_EXTI21_BIN_2,D_J_USU_L4_EXTI21_BIN_3,HWL_USU_L4_EXTI11_BIN_1,HWL_USU_L4_EXTI11_BIN_2,HWL_USU_L4_EXTI11_BIN_3,HWU_USU_L1_EXTI37_BIN_1,HWU_USU_L1_EXTI37_BIN_2,HWU_USU_L1_EXTI37_BIN_3,K_J_USU_L5_BIN_1,K_J_USU_L5_BIN_2,K_J_USU_L5_BIN_3,LDECAY_5_L3_EXTI8_STF_BIN_1,LDECAY_5_L3_EXTI8_STF_BIN_2,LDECAY_5_L3_EXTI8_STF_BIN_3,PVOh_12_26_9_L1_EXTI21_BIN_1,PVOh_12_26_9_L1_EXTI21_BIN_2,PVOh_12_26_9_L1_EXTI21_BIN_3,PVOh_12_26_9_L5_EXTI26_BIN_1,PVOh_12_26_9_L5_EXTI26_BIN_2,PVOh_12_26_9_L5_EXTI26_BIN_3,SMIo_5_20_5_L2_EXTI22_BIN_1,SMIo_5_20_5_L2_EXTI22_BIN_2,SMIo_5_20_5_L2_EXTI22_BIN_3,WCP_USU_L1_EXTI5_BIN_1,WCP_USU_L1_EXTI5_BIN_2,WCP_USU_L1_EXTI5_BIN_3,target,probs
2024-09-10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6253988743796272
2024-09-09,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.577297812325887
2024-09-06,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4951180572843669
2024-09-05,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.6390472377960819
2024-09-04,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5125254483398928
2024-09-03,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.47434046471569596
2024-09-02,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4154363863031353
2024-08-30,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3738244245455146
2024-08-29,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.32606473359389004
2024-08-28,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.31998917702247764
