Date,ACCBU_20_BAND_USU_L2_EXTI16_STF_BIN_1,ACCBU_20_BAND_USU_L2_EXTI16_STF_BIN_2,ACCBU_20_BAND_USU_L2_EXTI16_STF_BIN_3,AD_DIFF_USU_EXTI33_BIN_1,AD_DIFF_USU_EXTI33_BIN_2,AD_DIFF_USU_EXTI33_BIN_3,AROOND_14_L6_EXTI5_BIN_1,AROOND_14_L6_EXTI5_BIN_2,AROOND_14_L6_EXTI5_BIN_3,D_J_USU_L3_EXTI0_BIN_1,D_J_USU_L3_EXTI0_BIN_2,D_J_USU_L3_EXTI0_BIN_3,K_D_USU_L4_EXTI30_BIN_1,K_D_USU_L4_EXTI30_BIN_2,K_D_USU_L4_EXTI30_BIN_3,K_D_USU_L6_EXTI5_BIN_1,K_D_USU_L6_EXTI5_BIN_2,K_D_USU_L6_EXTI5_BIN_3,K_J_USU_BIN_1,K_J_USU_BIN_2,K_J_USU_BIN_3,LDECAY_5_L6_EXTI13_STF_BIN_1,LDECAY_5_L6_EXTI13_STF_BIN_2,LDECAY_5_L6_EXTI13_STF_BIN_3,PVOh_12_26_9_L6_EXTI2_BIN_1,PVOh_12_26_9_L6_EXTI2_BIN_2,PVOh_12_26_9_L6_EXTI2_BIN_3,QQE_DELS_USU_L3_EXTI39_BIN_1,QQE_DELS_USU_L3_EXTI39_BIN_2,QQE_DELS_USU_L3_EXTI39_BIN_3,QQE_DELS_USU_L4_EXTI13_BIN_1,QQE_DELS_USU_L4_EXTI13_BIN_2,QQE_DELS_USU_L4_EXTI13_BIN_3,target,probs
2024-09-10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9073361651557355
2024-09-09,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9304480721858386
2024-09-06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8851013502983542
2024-09-05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7952202320936516
2024-09-04,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4508426363576248
2024-09-03,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3037177939145423
2024-09-02,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.13709419182646412
2024-08-30,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.22684793834150904
2024-08-29,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.426245501763991
2024-08-28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3744555171440753
