Date,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN,AD_DIFF_USU_L5_EXTI38_BIN,AROONOSC_14_L3_EXTI33_BIN,BBPU_20_2_0_USU_L2_EXTI15_BIN,D_J_USU_L1_EXTI6_BIN,K_D_USU_L5_EXTI25_BIN,PVOh_12_26_9_L1_EXTI16_BIN,QQE_DELS_USU_L2_EXTI13_BIN,SMIo_5_20_5_L2_EXTI27_BIN,THERMO_20_2_0_5_USU_L4_BIN,WCP_L3_STF_BIN,WCP_L6_STF_BIN,WCP_USU_L3_EXTI34_BIN,ACCBU_20_BAND_USU_L2_EXTI22_STF,AD_DIFF_USU_L5_EXTI38,AROONOSC_14_L3_EXTI33,BBPU_20_2_0_USU_L2_EXTI15,D_J_USU_L1_EXTI6,K_D_USU_L5_EXTI25,PVOh_12_26_9_L1_EXTI16,QQE_DELS_USU_L2_EXTI13,SMIo_5_20_5_L2_EXTI27,THERMO_20_2_0_5_USU_L4,WCP_L3_STF,WCP_L6_STF,WCP_USU_L3_EXTI34,target,Close,Open,High,Low,Volume
2024-09-10,2,1,3,1,3,1,3,1,1,3,1,2,1,0.06170248182262661,-575.9684903599264,71.42857142857143,-70.14924067280532,50.061479741008405,-17.44508865885397,26.833492285729413,-5.522725437592804,-0.05529409071965685,0.3174243735358224,-0.3099994659423828,-0.09749889373779297,-43.375,0,44.849998474121094,45.189998626708984,45.189998626708984,43.97999954223633,811820
2024-09-09,2,1,3,2,3,1,3,1,1,3,3,2,1,0.320957931322134,-760.9946328134683,71.42857142857143,-49.26164094359595,38.87543289385421,-10.679812734010405,32.26272886700733,-6.274705688319202,-0.05616358727034576,0.780837770662743,0.46249961853027344,-0.19249916076660156,-11.44970703125,1,44.65999984741211,44.59000015258789,46.029998779296875,44.2400016784668,601889
2024-09-06,2,1,3,2,3,2,3,1,1,2,1,3,1,0.18401428619679727,-1237.427405123075,71.42857142857143,-38.618308368496166,19.05645938693219,-3.657553937001083,37.5619316801822,-6.196360338635166,-0.06682580754199482,-0.09696786426646675,-0.912501335144043,0.4524993896484375,-43.47509765625,0,44.45000076293945,46.22999954223633,46.31999969482422,44.060001373291016,534335
2024-09-05,2,3,3,2,2,2,3,1,2,1,2,3,2,0.020671837177244967,1043.3890074671945,71.42857142857143,-37.964980066074084,2.604124531457032,0.545197943018195,41.49954864852628,-6.119023942372323,-0.013600783831793195,-0.2871753130492445,-0.09749889373779297,0.44750022888183594,2.124755859375,0,45.72999954223633,46.599998474121094,46.779998779296875,45.040000915527344,700232
2024-09-04,2,1,3,2,1,2,3,1,2,2,2,1,3,0.08810573542396227,-24166.999999999927,71.42857142857143,-26.752656360927695,-11.147613519736211,-5.892128593662704,46.864586743471044,-6.059353890717368,-0.013735492873661215,-0.20740368301865508,-0.19249916076660156,-0.7974996566772461,47.724609375,0,46.0099983215332,45.72999954223633,46.900001525878906,45.599998474121094,905252
2024-09-03,3,1,3,3,1,3,3,1,2,1,3,2,1,0.5855250970348482,-256.0,64.28571428571429,-16.18571372052515,-17.602332902638963,6.680604479972075,45.49017919290943,-6.017452721730592,-0.011527597495907371,-0.4292364125916509,0.4524993896484375,-0.030000686645507812,-14.125,0,45.689998626708984,46.2599983215332,46.70000076293945,44.59000015258789,1114540
2024-09-02,3,2,2,3,1,3,3,1,2,3,3,1,1,2.4868974105944455,207.60879931334057,-28.57142857142857,-18.68545591115102,-29.54635293522847,6.7332474066054715,32.34062873116055,-5.99687466262473,-0.0044796355369083884,0.16558019678398117,0.44750022888183594,-0.5650005340576172,-12.27490234375,0,46.7400016784668,46.56999969482422,46.810001373291016,46.029998779296875,369078
2024-08-30,2,1,2,2,1,2,2,1,2,3,1,2,2,0.35328220959060364,-272.3229190318234,-28.57142857142857,-23.16373175685555,-52.387488167736095,3.3325153415629103,-8.850760380932968,-6.001246629443457,0.022192080311968232,0.24301106447331056,-0.7974996566772461,-0.09999942779541016,4.72509765625,0,46.79999923706055,46.95000076293945,47.290000915527344,45.81999969482422,6997746
2024-08-29,1,1,2,3,1,2,2,1,3,2,2,2,2,-1.3894825747495583,-280.5947046843212,-28.57142857142857,-17.563733101548433,-59.585583893673345,-5.15226064017358,-9.17852438232,-6.030758329518246,0.041338541421522434,-0.16140912865264845,-0.030000686645507812,-0.13249969482421875,-5.0751953125,0,47.029998779296875,46.709999084472656,47.29999923706055,46.119998931884766,709399
2024-08-28,3,2,2,3,1,2,2,2,3,1,1,2,3,0.374271806651997,128.13509831523697,-28.57142857142857,-16.025856087512828,-65.1192676025457,1.0494903602704966,-9.45965007557632,0.4714957163783744,0.059910366348584654,-0.35839605372617966,-0.5650005340576172,-0.012501716613769531,32.22509765625,1,46.29999923706055,45.880001068115234,47.36000061035156,45.709999084472656,1031845
2024-08-27,2,2,2,3,1,1,2,2,3,1,2,2,2,-0.3757517108194266,-194.3468437075935,-28.57142857142857,-15.522633628544106,-57.12360917319861,-8.122257740241778,-10.233719135807107,2.2393875648010884,0.06376383476026654,-0.39612576881567474,-0.09999942779541016,0.17000102996826172,-4.57470703125,1,45.5099983215332,46.9900016784668,47.36000061035156,45.5,1194880
2024-08-26,1,2,1,2,1,2,1,2,3,1,2,3,3,-1.1823491121010399,-47.39999999999418,-78.57142857142857,-28.88909523475296,-31.11503302055442,0.9689112382748419,-10.9484083776615,3.429072885145729,0.06322988383136086,-0.46782199746156816,-0.13249969482421875,0.30499935150146484,23.07470703125,1,46.72999954223633,46.349998474121094,47.2599983215332,46.349998474121094,1079674
2024-08-23,1,3,1,2,2,3,1,2,3,1,2,3,1,-1.060669992295244,286.0,-85.71428571428572,-20.960189616390082,7.594185794197912,12.205481690637185,-11.36856581235056,3.126797798017016,0.06103960980905865,-0.327067791538012,-0.012501716613769531,1.0400009155273438,-12.7001953125,0,46.34000015258789,47.040000915527344,48.16999816894531,46.34000015258789,1173934
2024-08-22,1,3,1,2,3,3,1,2,3,2,2,3,2,-1.8302238457740891,305.99500043348235,-85.71428571428572,-20.040964050746286,23.107438123582515,14.574572418051702,-11.5903461236204,4.429847336916531,0.05187789739279486,0.038505545757945625,0.17000102996826172,0.4999990463256836,0.275390625,0,47.470001220703125,47.45000076293945,47.689998626708984,46.81999969482422,1774458
2024-08-21,2,2,1,3,3,3,1,3,2,3,3,3,2,-0.23635769957355635,-190.0,-100.0,-15.92385944593116,25.664440334948136,16.261383450221487,-12.51789012777769,5.2514333057794325,0.0258129943726087,0.26255616710674656,0.30499935150146484,1.072500228881836,13.5498046875,0,47.459999084472656,47.27000045776367,47.9900016784668,46.939998626708984,1359526
2024-08-20,2,2,1,2,3,3,1,3,2,3,3,2,3,-0.3853099385684242,0.0,-100.0,-22.82129726967376,16.17805581501908,16.90228751903728,-13.546477700478718,6.293855898430504,-0.003912408736004819,0.33019838860575035,1.0400009155273438,-0.24750041961669922,28.2998046875,0,47.5099983215332,47.38999938964844,48.290000915527344,47.06999969482422,480157
2024-08-19,1,2,1,2,3,3,1,3,2,1,3,3,3,-0.8712574711162642,151.0750157401635,-100.0,-25.25200105261632,15.830276953837156,13.207824685124343,-13.59334208485405,6.312704942018893,0.002850545100482327,-0.44504907426613616,0.4999990463256836,0.8875017166137695,38.60009765625,0,47.720001220703125,47.970001220703125,48.02000045776367,46.970001220703125,578928
2024-08-16,2,2,1,2,3,3,1,2,3,1,3,2,3,-0.2083719666595698,-142.91695061740757,-64.28571428571428,-47.42476030279141,15.669685140929907,14.669468810061637,-15.328054689312403,4.9590977141283545,0.03989673977936539,-0.3018939038352688,1.072500228881836,0.14249897003173828,44.0498046875,0,47.54999923706055,47.09000015258789,47.560001373291016,47.09000015258789,542641
2024-08-15,2,2,1,1,2,3,1,2,3,3,2,2,2,0.36255977726504973,101.99944730126299,-71.42857142857143,-58.528248349676105,5.287960893283277,15.793807084519315,-15.58225211704535,3.784800263626238,0.05380128645700097,0.36632855343731385,-0.24750041961669922,0.25,5.5751953125,0,47.400001525878906,46.22999954223633,47.5,46.22999954223633,739894
2024-08-14,2,1,1,1,2,3,1,2,3,1,3,3,3,-0.05856466557885831,-210.75222082898836,-71.42857142857143,-74.42887177192249,-8.505791645269113,8.162678589851648,-15.829623032244164,2.715243174879255,0.06554343242134764,-0.6351114617282073,0.8875017166137695,0.7650003433227539,41.67529296875,1,46.369998931884766,45.91999816894531,46.47999954223633,45.150001525878906,944583
